#TLD,TYPE
wien,generic
wiki,generic
williamhill,generic
win,generic
windows,generic
wine,generic
winners,generic
wme,generic
wolterskluwer,generic
woodside,generic
work,generic
works,generic
world,generic
wow,generic
ws,country-code
wtc,generic
wtf,generic
xbox,generic
xerox,generic
xfinity,generic
xihuan,generic
xin,generic
xn--0zwm56d,test
xn--11b4c3d,generic
xn--11b5bs3a9aj6g,test
xn--1ck2e1b,generic
xn--1qqw23a,generic
xn--2scrj9c,country-code
xn--30rr7y,generic
xn--3bst00m,generic
xn--3ds443g,generic
xn--3e0b707e,country-code
xn--3hcrj9c,country-code
xn--3oq18vl8pn36a,generic
xn--3pxu8k,generic
xn--42c2d9a,generic
xn--45br5cyl,country-code
xn--45brj9c,country-code
xn--45q11c,generic
xn--4dbrk0ce,country-code
xn--4gbrim,generic
xn--54b7fta0cc,country-code
xn--55qw42g,generic
xn--55qx5d,generic
xn--5su34j936bgsg,generic
xn--5tzm5g,generic
xn--6frz82g,generic
xn--6qq986b3xl,generic
xn--80adxhks,generic
xn--80akhbyknj4f,test
xn--80ao21a,country-code
xn--80aqecdr1a,generic
xn--80asehdb,generic
xn--80aswg,generic
xn--8y0a063a,generic
xn--90a3ac,country-code
xn--90ae,country-code
xn--90ais,country-code
xn--9dbq2a,generic
xn--9et52u,generic
xn--9krt00a,generic
xn--9t4b11yi5a,test
xn--b4w605ferd,generic
xn--bck1b9a5dre4c,generic
xn--c1avg,generic
xn--c2br7g,generic
xn--cck2b3b,generic
xn--cckwcxetd,generic
xn--cg4bki,generic
xn--clchc0ea0b2g2a9gcd,country-code
xn--czr694b,generic
xn--czrs0t,generic
xn--czru2d,generic
xn--d1acj3b,generic
xn--d1alf,country-code
xn--deba0ad,test
xn--e1a4c,country-code
xn--eckvdtc9d,generic
xn--efvy88h,generic
xn--estv75g,generic
xn--fct429k,generic
xn--fhbei,generic
xn--fiq228c5hs,generic
xn--fiq64b,generic
xn--fiqs8s,country-code
xn--fiqz9s,country-code
xn--fjq720a,generic
xn--flw351e,generic
xn--fpcrj9c3d,country-code
xn--fzc2c9e2c,country-code
xn--fzys8d69uvgm,generic
xn--g2xx48c,generic
xn--g6w251d,test
xn--gckr3f0f,generic
xn--gecrj9c,country-code
xn--gk3at1e,generic
xn--h2breg3eve,country-code
xn--h2brj9c,country-code
xn--h2brj9c8c,country-code
xn--hgbk6aj7f53bba,test
xn--hlcj6aya9esc7a,test
xn--hxt814e,generic
xn--i1b6b1a6a2e,generic
xn--imr513n,generic
xn--io0a7i,generic
xn--j1aef,generic
xn--j1amh,country-code
xn--j6w193g,country-code
xn--jlq480n2rg,generic
xn--jlq61u9w7b,generic
xn--jvr189m,generic
xn--jxalpdlp,test
xn--kcrx77d1x4a,generic
xn--kgbechtv,test
xn--kprw13d,country-code
xn--kpry57d,country-code
xn--kpu716f,generic
xn--kput3i,generic
xn--l1acc,country-code
xn--lgbbat1ad8j,country-code
xn--mgb9awbf,country-code
xn--mgba3a3ejt,generic
xn--mgba3a4f16a,country-code
xn--mgba7c0bbn0a,generic
xn--mgbaakc7dvf,generic
xn--mgbaam7a8h,country-code
xn--mgbab2bd,generic
xn--mgbah1a3hjkrd,country-code
xn--mgbai9azgqp6j,country-code
xn--mgbayh7gpa,country-code
xn--mgbb9fbpob,generic
xn--mgbbh1a,country-code
xn--mgbbh1a71e,country-code
xn--mgbc0a9azcg,country-code
xn--mgbca7dzdo,generic
xn--mgbcpq6gpa1a,country-code
xn--mgberp4a5d4ar,country-code
xn--mgbgu82a,country-code
xn--mgbi4ecexp,generic
xn--mgbpl2fh,country-code
xn--mgbt3dhd,generic
xn--mgbtx2b,country-code
xn--mgbx4cd0ab,country-code
xn--mix891f,country-code
xn--mk1bu44c,generic
xn--mxtq1m,generic
xn--ngbc5azd,generic
xn--ngbe9e0a,generic
xn--ngbrx,generic
xn--node,country-code
xn--nqv7f,generic
xn--nqv7fs00ema,generic
xn--nyqy26a,generic
xn--o3cw4h,country-code
xn--ogbpf8fl,country-code
xn--otu796d,generic
xn--p1acf,generic
xn--p1ai,country-code
xn--pbt977c,generic
xn--pgbs0dh,country-code
xn--pssy2u,generic
xn--q7ce6a,country-code
xn--q9jyb4c,generic
xn--qcka1pmc,generic
xn--qxa6a,country-code
xn--qxam,country-code
xn--rhqv96g,generic
xn--rovu88b,generic
xn--rvc1e0am3e,country-code
